product_general_id,product_name,product_description,unit,unit_quantity,tags,img,created_at,category_id,category_name,category_description,product_general_id,min_price
29,Xúc Xích Bò Tươi,Xúc xích bò tươi nguyên chất,GRAM,500,"xúc xích,xúc xích bò,lạp xưởng",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:02.941921,3,Thịt Đỏ,Các loại thịt đỏ tươi,29,195000.0
16,Thịt Bò Úc Phi Lê,Thịt bò Úc nhập khẩu phi lê mềm,GRAM,500,"thịt bò,bò Úc,phi lê",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:02.845452,3,Thịt Đỏ,Các loại thịt đỏ tươi,16,130000.0
52,Xà Lách Xoong,Xà lách xoong tươi giòn,GRAM,300,"xà lách,rau xanh,rau salad",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.076189,6,Rau Ăn Lá,Các loại rau xanh ăn lá,52,310000.0
68,Củ Cải Đỏ,Củ cải đỏ tươi giàu vitamin,GRAM,500,"củ cải,củ quả,rau củ",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.160386,7,Củ Quả,Các loại củ và quả tươi,68,390000.0
90,Thanh Long Vàng,Thanh long vàng Ecuador cao cấp,KILOGRAM,1,"thanh long,trái cây,hoa quả",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.275377,8,Trái Cây,Trái cây tươi trong nước và nhập khẩu,90,500000.0
20,Thịt Heo Nạc Vai,"Thịt heo nạc vai tươi, ít mỡ",GRAM,500,"thịt heo,nạc vai,thịt lợn",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:02.878504,3,Thịt Đỏ,Các loại thịt đỏ tươi,20,150000.0
76,Xoài Cát Hòa Lộc,Xoài cát Hòa Lộc ngọt thơm,KILOGRAM,1,"xoài,trái cây,hoa quả",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.197907,8,Trái Cây,Trái cây tươi trong nước và nhập khẩu,76,430000.0
51,Cải Ngồng Tươi,Cải ngồng tươi giòn ngọt,GRAM,500,"cải ngồng,rau xanh,rau ăn lá",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.070194,6,Rau Ăn Lá,Các loại rau xanh ăn lá,51,305000.0
18,Thịt Bò Vai,"Thịt bò vai tươi ngon, thơm mềm",GRAM,500,"thịt bò,bò vai,bò tươi",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:02.863325,3,Thịt Đỏ,Các loại thịt đỏ tươi,18,140000.0
102,Ớt Chuông,Ớt chuông tươi ngọt màu sắc,GRAM,500,"ớt,gia vị,rau thơm",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.335605,9,Rau Gia Vị,Các loại rau và củ gia vị,102,560000.0
95,Tỏi Tươi Cà Mau,Tỏi tươi Cà Mau múi to,GRAM,500,"tỏi,gia vị,rau thơm",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.299079,9,Rau Gia Vị,Các loại rau và củ gia vị,95,525000.0
62,Cà Rốt Nhật,Cà rốt Nhật to đều màu đẹp,KILOGRAM,1,"cà rốt,củ quả,rau củ",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.127793,7,Củ Quả,Các loại củ và quả tươi,62,360000.0
14,Mề Gà Tươi,"Mề gà tươi sạch, giòn ngọt",GRAM,300,"mề gà,lòng gà,dạ dày gà",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:02.827663,2,Gia Cầm,Các loại thịt gia cầm tươi,14,120000.0
7,Ngan Nguyên Con,"Ngan tươi nguyên con, thịt thơm béo",KILOGRAM,1,"ngan,ngan nguyên con,thịt ngan",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:02.772202,2,Gia Cầm,Các loại thịt gia cầm tươi,7,85000.0
89,Thanh Long Ruột Trắng,Thanh long ruột trắng ngọt mát,KILOGRAM,1,"thanh long,trái cây,hoa quả",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.268387,8,Trái Cây,Trái cây tươi trong nước và nhập khẩu,89,495000.0
6,Đùi Vịt Bó Xôi,"Đùi vịt bó xôi tươi ngon, thịt đậm đà",GRAM,500,"đùi vịt,vịt bó xôi,thịt vịt",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:02.761896,2,Gia Cầm,Các loại thịt gia cầm tươi,6,80000.0
5,Ức Vịt Phi Lê,"Ức vịt phi lê không da, ít mỡ",GRAM,500,"ức vịt,phi lê,thịt vịt",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:02.751237,2,Gia Cầm,Các loại thịt gia cầm tươi,5,75000.0
99,Gừng Khô,Gừng khô cay thơm lâu,GRAM,200,"gừng,gia vị,rau củ",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.323558,9,Rau Gia Vị,Các loại rau và củ gia vị,99,545000.0
59,Cải Bẹ Trắng,Cải bẹ trắng tươi giòn ngọt,GRAM,500,"cải bẹ,rau xanh,rau ăn lá",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.111765,6,Rau Ăn Lá,Các loại rau xanh ăn lá,59,345000.0
3,Đùi Gà Tươi,"Đùi gà tươi có xương, thịt ngọt đậm đà",GRAM,500,"đùi gà,thịt gà,gà tươi",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:02.733807,2,Gia Cầm,Các loại thịt gia cầm tươi,3,65000.0
80,Chuối Tiêu Hương,Chuối tiêu hương thơm ngọt,KILOGRAM,1,"chuối,trái cây,hoa quả",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.217516,8,Trái Cây,Trái cây tươi trong nước và nhập khẩu,80,450000.0
82,Dưa Hấu Không Hạt,Dưa hấu không hạt ngọt mát,KILOGRAM,1,"dưa hấu,trái cây,hoa quả",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.228257,8,Trái Cây,Trái cây tươi trong nước và nhập khẩu,82,460000.0
71,Bắp Nếp Tươi,Bắp nếp tươi dẻo thơm,KILOGRAM,1,"bắp nếp,ngô,rau củ",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.175517,7,Củ Quả,Các loại củ và quả tươi,71,405000.0
44,Sò Huyết Tươi,Sò huyết tươi sống ngon ngọt,KILOGRAM,1,"sò huyết,sò tươi,hải sản",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.027291,4,Hải Sản,Hải sản tươi sống,44,270000.0
34,Cá Hồi Phi Lê,Cá hồi phi lê tươi Nauy,GRAM,500,"cá hồi,phi lê,cá tươi",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:02.964582,4,Hải Sản,Hải sản tươi sống,34,220000.0
88,Thanh Long Ruột Đỏ,Thanh long ruột đỏ ngọt thơm,KILOGRAM,1,"thanh long,trái cây,hoa quả",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.262849,8,Trái Cây,Trái cây tươi trong nước và nhập khẩu,88,490000.0
43,Nghêu Tươi Sống,Nghêu tươi sống vỏ to thịt ngọt,KILOGRAM,1,"nghêu,sò tươi,hải sản",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.022316,4,Hải Sản,Hải sản tươi sống,43,265000.0
53,Xà Lách Lô Lô,Xà lách lô lô đỏ tím tươi,GRAM,300,"xà lách,rau xanh,rau salad",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.079272,6,Rau Ăn Lá,Các loại rau xanh ăn lá,53,315000.0
23,Thịt Dê Có Xương,"Thịt dê có xương nấu cháo, hầm",GRAM,500,"thịt dê,dê xương,dê tươi",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:02.897602,3,Thịt Đỏ,Các loại thịt đỏ tươi,23,165000.0
1,Gà Ta Nguyên Con,"Gà ta thả vườn tươi ngon, thịt chắc thơm ngon",KILOGRAM,1,"gà ta,gà nguyên con,thịt gà",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:02.696880,2,Gia Cầm,Các loại thịt gia cầm tươi,1,55000.0
73,Su Su Xanh,Su su xanh tươi giòn ngọt,KILOGRAM,1,"su su,củ quả,rau củ",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.182417,7,Củ Quả,Các loại củ và quả tươi,73,415000.0
46,Rau Muống Xanh,Rau muống xanh tươi non mơn mởn,GRAM,500,"rau muống,rau xanh,rau ăn lá",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.040117,6,Rau Ăn Lá,Các loại rau xanh ăn lá,46,280000.0
24,Sườn Dê Tươi,"Sườn dê tươi ngon, nướng hoặc hầm",GRAM,500,"sườn dê,thịt dê,dê tươi",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:02.907243,3,Thịt Đỏ,Các loại thịt đỏ tươi,24,170000.0
38,Mực Nang Tươi,Mực nang tươi ngọt thịt dai,GRAM,500,"mực nang,mực tươi,hải sản",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:02.989449,4,Hải Sản,Hải sản tươi sống,38,240000.0
35,Cá Basa Phi Lê,Cá basa phi lê không xương,GRAM,500,"cá basa,phi lê,cá tươi",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:02.972806,4,Hải Sản,Hải sản tươi sống,35,225000.0
54,Xà Lách Tím,Xà lách tím tươi giàu anthocyanin,GRAM,300,"xà lách,rau xanh,rau salad",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.083242,6,Rau Ăn Lá,Các loại rau xanh ăn lá,54,320000.0
79,Chuối Già,Chuối già ngọt thơm bổ dưỡng,KILOGRAM,1,"chuối,trái cây,hoa quả",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.212493,8,Trái Cây,Trái cây tươi trong nước và nhập khẩu,79,445000.0
97,Gừng Già,Gừng già cay nồng dùng nấu ăn,GRAM,500,"gừng,gia vị,rau củ",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.311274,9,Rau Gia Vị,Các loại rau và củ gia vị,97,535000.0
19,Thịt Heo Ba Chỉ,"Thịt heo ba chỉ tươi, vừa nạc vừa mỡ",GRAM,500,"thịt heo,ba chỉ,thịt lợn",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:02.873344,3,Thịt Đỏ,Các loại thịt đỏ tươi,19,145000.0
32,Tôm Thẻ Tươi,Tôm thẻ tươi ngọt thịt chắc,GRAM,500,"tôm thẻ,tôm tươi,hải sản",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:02.958572,4,Hải Sản,Hải sản tươi sống,32,210000.0
22,Thịt Dê Nạc,"Thịt dê nạc tươi, thơm ngon bổ dưỡng",GRAM,500,"thịt dê,dê nạc,dê tươi",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:02.892602,3,Thịt Đỏ,Các loại thịt đỏ tươi,22,160000.0
96,Tỏi Tây,Tỏi tây nhập khẩu múi lớn,GRAM,500,"tỏi,gia vị,rau thơm",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.306641,9,Rau Gia Vị,Các loại rau và củ gia vị,96,530000.0
91,Hành Lá Tươi,Hành lá tươi thơm dùng nêm nếm,GRAM,200,"hành lá,gia vị,rau thơm",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.279091,9,Rau Gia Vị,Các loại rau và củ gia vị,91,505000.0
67,Củ Cải Trắng,Củ cải trắng tươi giòn ngọt,KILOGRAM,1,"củ cải,củ quả,rau củ",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.156373,7,Củ Quả,Các loại củ và quả tươi,67,385000.0
49,Cải Xanh Tươi,Cải xanh tươi ngọt mát,GRAM,500,"cải xanh,rau xanh,rau ăn lá",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.058400,6,Rau Ăn Lá,Các loại rau xanh ăn lá,49,295000.0
61,Cà Rốt Đà Lạt,Cà rốt Đà Lạt tươi giòn ngọt,GRAM,500,"cà rốt,củ quả,rau củ",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.124794,7,Củ Quả,Các loại củ và quả tươi,61,355000.0
48,Rau Muống Cọng To,Rau muống cọng to tươi giòn,GRAM,500,"rau muống,rau xanh,rau ăn lá",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.048154,6,Rau Ăn Lá,Các loại rau xanh ăn lá,48,290000.0
26,Thịt Cừu New Zealand,Thịt cừu New Zealand tươi ngon,GRAM,500,"thịt cừu,cừu NZ,cừu nhập khẩu",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:02.919317,3,Thịt Đỏ,Các loại thịt đỏ tươi,26,180000.0
86,Ổi Ruột Đỏ,Ổi ruột đỏ ngọt giàu lycopene,KILOGRAM,1,"ổi,trái cây,hoa quả",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.252962,8,Trái Cây,Trái cây tươi trong nước và nhập khẩu,86,480000.0
42,Cua Gạch Tươi,Cua gạch tươi đầy gạch béo ngậy,KILOGRAM,1,"cua gạch,cua tươi,hải sản",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.011553,4,Hải Sản,Hải sản tươi sống,42,260000.0
11,Chim Cút Rút Xương,"Chim cút rút xương sẵn, tiện chế biến",GRAM,200,"chim cút,rút xương,thịt cút",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:02.801415,2,Gia Cầm,Các loại thịt gia cầm tươi,11,105000.0
4,Vịt Trời Nguyên Con,"Vịt trời tươi nguyên con, thịt chắc thơm",KILOGRAM,1,"vịt trời,vịt nguyên con,thịt vịt",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:02.744134,2,Gia Cầm,Các loại thịt gia cầm tươi,4,70000.0
2,Ức Gà Phi Lê,"Ức gà phi lê không xương, thịt trắng mềm",GRAM,500,"ức gà,phi lê,thịt gà",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:02.727255,2,Gia Cầm,Các loại thịt gia cầm tươi,2,60000.0
31,Tôm Sú Tươi Sống,Tôm sú tươi sống size lớn,KILOGRAM,1,"tôm sú,tôm tươi,hải sản",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:02.951775,4,Hải Sản,Hải sản tươi sống,31,205000.0
10,Chim Cút Nguyên Con,"Chim cút tươi nguyên con, thịt thơm ngọt",GRAM,200,"chim cút,cút nguyên con,thịt cút",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:02.793885,2,Gia Cầm,Các loại thịt gia cầm tươi,10,100000.0
30,Xúc Xích Gà Tươi,"Xúc xích gà tươi ít béo, healthy",GRAM,500,"xúc xích,xúc xích gà,lạp xưởng",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:02.946114,3,Thịt Đỏ,Các loại thịt đỏ tươi,30,200000.0
63,Cà Rốt Baby,Cà rốt baby nhỏ xinh ăn salad,GRAM,300,"cà rốt,củ quả,rau củ",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.131285,7,Củ Quả,Các loại củ và quả tươi,63,365000.0
36,Cá Diêu Hồng Tươi,Cá diêu hồng tươi nguyên con,KILOGRAM,1,"cá diêu hồng,cá nguyên con,cá tươi",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:02.976790,4,Hải Sản,Hải sản tươi sống,36,230000.0
45,Hàu Sữa Tươi,Hàu sữa tươi sống béo ngậy,KILOGRAM,1,"hàu,sò tươi,hải sản",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.030829,4,Hải Sản,Hải sản tươi sống,45,275000.0
40,Cua Biển Tươi Sống,Cua biển tươi sống size to,KILOGRAM,1,"cua biển,cua tươi,hải sản",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:02.996977,4,Hải Sản,Hải sản tươi sống,40,250000.0
25,Thịt Cừu Úc Phi Lê,Thịt cừu Úc nhập khẩu phi lê cao cấp,GRAM,500,"thịt cừu,cừu Úc,phi lê",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:02.912263,3,Thịt Đỏ,Các loại thịt đỏ tươi,25,175000.0
12,Chim Cút Loại 1,"Chim cút loại 1 to đều, tươi ngon",GRAM,300,"chim cút,cút loại 1,thịt cút",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:02.809937,2,Gia Cầm,Các loại thịt gia cầm tươi,12,110000.0
84,Dưa Hấu Vàng,Dưa hấu vàng giòn ngọt thanh,KILOGRAM,1,"dưa hấu,trái cây,hoa quả",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.241902,8,Trái Cây,Trái cây tươi trong nước và nhập khẩu,84,470000.0
17,Thịt Bò Nạm,"Thịt bò nạm tươi, thích hợp nấu phở",GRAM,500,"thịt bò,bò nạm,bò tươi",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:02.858077,3,Thịt Đỏ,Các loại thịt đỏ tươi,17,135000.0
100,Ớt Sừng Xanh,Ớt sừng xanh tươi cay nhẹ,GRAM,200,"ớt,gia vị,rau thơm",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.327550,9,Rau Gia Vị,Các loại rau và củ gia vị,100,550000.0
21,Thịt Heo Nạc Dăm,Thịt heo nạc dăm tươi ngon,GRAM,500,"thịt heo,nạc dăm,thịt lợn",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:02.885572,3,Thịt Đỏ,Các loại thịt đỏ tươi,21,155000.0
66,Khoai Tây Tím,Khoai tây tím giàu chất chống oxy hóa,GRAM,500,"khoai tây,củ quả,rau củ",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.147667,7,Củ Quả,Các loại củ và quả tươi,66,380000.0
65,Khoai Tây Ai Cập,Khoai tây Ai Cập nhập khẩu,KILOGRAM,1,"khoai tây,củ quả,rau củ",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.144690,7,Củ Quả,Các loại củ và quả tươi,65,375000.0
104,Sả Tía Tươi,Sả tía tươi thơm đặc biệt,GRAM,300,"sả,gia vị,rau thơm",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.343754,9,Rau Gia Vị,Các loại rau và củ gia vị,104,570000.0
81,Chuối Sứ,Chuối sứ nhỏ ngọt đậm,KILOGRAM,1,"chuối,trái cây,hoa quả",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.225257,8,Trái Cây,Trái cây tươi trong nước và nhập khẩu,81,455000.0
57,Rau Dền Cơm,Rau dền cơm non mềm thơm,GRAM,500,"rau dền,rau xanh,rau ăn lá",https://pub-0365edd1781141cdb68675969c7cdb87.r2.dev/5fe95e6c-c064-49c4-8712-1c8f54472502.jpg,2026-05-04 09:34:03.098981,6,Rau Ăn Lá,Các loại rau xanh ăn lá,57,335000.0
